IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.55.237.163,2052,80,FALSE,SYD,Oceania,Sydney,93,0
52.64.153.64,2086,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.190.249,2096,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.10.40,2096,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.176.136,2095,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.190.249,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.237.163,2087,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.190.249,2082,80,FALSE,SYD,Oceania,Sydney,93,0
13.238.235.196,2087,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.10.40,2087,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2096,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.190.249,2053,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2096,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2052,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.10.40,2095,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.190.249,2083,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.190.249,2095,80,FALSE,SYD,Oceania,Sydney,93,0
52.65.99.165,2083,80,FALSE,SYD,Oceania,Sydney,93,0
52.65.99.165,2087,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.197.209,2086,80,FALSE,SYD,Oceania,Sydney,93,0
13.236.104.165,2086,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.237.163,2082,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.197.209,2096,80,FALSE,SYD,Oceania,Sydney,93,0
13.236.104.165,2052,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.197.209,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.237.163,2086,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2095,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.237.163,2083,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2083,80,FALSE,SYD,Oceania,Sydney,93,0
13.238.235.196,2082,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.129.232,2086,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2053,80,FALSE,SYD,Oceania,Sydney,93,0
13.238.235.196,2083,80,FALSE,SYD,Oceania,Sydney,93,0
13.238.235.196,2053,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.129.232,2083,80,FALSE,SYD,Oceania,Sydney,93,0
